Time,Type,Instrument,Product,Qty.,Avg. price,Status
2020-04-03 15:15:14,BUY,ITC,MIS,50,177.85,COMPLETE
2020-04-03 15:14:41,SELL,ITC,MIS,50,178,COMPLETE
2020-04-03 15:12:46,BUY,ITC,MIS,250,178.55,COMPLETE
2020-04-03 15:12:20,SELL,ITC,MIS,250,178.7,COMPLETE
2020-04-03 15:11:41,BUY,ITC,MIS,250,179.74,COMPLETE
2020-04-03 15:10:21,SELL,ITC,MIS,250,178.5,COMPLETE
2020-04-03 15:09:59,SELL,ITC,MIS,250,178.4,COMPLETE
2020-04-03 15:09:41,BUY,ITC,MIS,250,178.38,COMPLETE
2020-04-03 15:09:01,BUY,ITC,MIS,250,177.65,COMPLETE
2020-04-03 15:07:25,SELL,ITC,MIS,250,178.05,COMPLETE
2020-04-03 15:07:15,BUY,ITC,MIS,250,177.5,CANCELLED
2020-04-03 15:07:11,SELL,ITC,MIS,250,179,CANCELLED
2020-04-03 15:06:02,BUY,ITC,MIS,250,178,COMPLETE
2020-04-03 15:04:55,SELL,ITC,MIS,250,177.85,COMPLETE
2020-04-03 15:04:55,SELL,ITC,MIS,250,177.85,COMPLETE
2020-04-03 15:04:05,BUY,ITC,MIS,250,176.9,COMPLETE
2020-04-03 15:03:43,BUY,ITC,MIS,250,176.75,COMPLETE
2020-04-03 15:02:02,SELL,ITC,MIS,250,178,COMPLETE
2020-04-03 15:00:26,BUY,ONGC,MIS,200,70.1,COMPLETE
2020-04-03 14:58:54,SELL,ONGC,MIS,200,70.1,COMPLETE
2020-04-03 14:56:35,BUY,ITC,MIS,250,179.15,COMPLETE
2020-04-03 14:52:27,SELL,ITC,MIS,250,181,COMPLETE
2020-04-03 14:45:46,SELL,CHOLAFIN,MIS,100,128.15,COMPLETE
2020-04-03 14:40:08,BUY,CHOLAFIN,MIS,100,128.75,COMPLETE
2020-04-03 14:36:42,SELL,GLENMARK,MIS,200,214.55,REJECTED
2020-04-03 14:35:59,BUY,ITC,MIS,250,176.25,COMPLETE
2020-04-03 14:35:53,BUY,ITC,MIS,250,0,REJECTED
2020-04-03 14:35:28,BUY,ITC,MIS,250,176.15,REJECTED
2020-04-03 14:29:43,SELL,ITC,MIS,250,176.05,COMPLETE
2020-04-03 14:29:15,SELL,ITC,MIS,300,0,REJECTED
2020-04-03 14:28:24,BUY,ITC,MIS,250,176.5,COMPLETE
2020-04-03 14:28:19,BUY,ITC,MIS,250,176.25,CANCELLED
2020-04-03 14:28:13,BUY,ITC,MIS,250,0,REJECTED
2020-04-03 14:27:41,SELL,ITC,MIS,250,176.5,COMPLETE
2020-04-03 14:27:01,BUY,ITC,MIS,250,177,COMPLETE
2020-04-03 14:24:17,SELL,ITC,MIS,250,176.2,COMPLETE
2020-04-03 14:23:03,SELL,ITC,MIS,250,176,COMPLETE
2020-04-03 14:22:55,BUY,ITC,MIS,250,175.8,COMPLETE
